timestamp,energy_usage,temperature,occupancy
2024-04-01 00:00:00,51.09,18.19,4
2024-04-01 01:00:00,48.62,20.15,0
2024-04-01 02:00:00,44.87,20.69,1
2024-04-01 03:00:00,54.95,24.47,6
2024-04-01 04:00:00,56.59,25.63,6
2024-04-01 05:00:00,58.16,27.93,5
2024-04-01 06:00:00,52.25,25.69,3
2024-04-01 07:00:00,52.79,25.89,4
2024-04-01 08:00:00,128.4,25.06,129
2024-04-01 09:00:00,129.58,25.04,126
2024-04-01 10:00:00,143.73,21.65,159
2024-04-01 11:00:00,138.31,20.03,157
2024-04-01 12:00:00,135.13,18.25,147
2024-04-01 13:00:00,126.68,15.75,148
2024-04-01 14:00:00,135.47,13.2,146
2024-04-01 15:00:00,111.45,12.23,118
2024-04-01 16:00:00,120.29,11.92,127
2024-04-01 17:00:00,109.4,9.13,112
2024-04-01 18:00:00,99.36,10.15,96
2024-04-01 19:00:00,50.3,9.74,4
2024-04-01 20:00:00,48.63,12.58,8
2024-04-01 21:00:00,49.47,11.27,6
2024-04-01 22:00:00,46.68,14.02,3
2024-04-01 23:00:00,49.79,16.97,6
2024-04-02 00:00:00,49.72,20.27,7
2024-04-02 01:00:00,46.24,20.71,6
2024-04-02 02:00:00,53.0,22.09,5
2024-04-02 03:00:00,52.85,26.07,3
2024-04-02 04:00:00,49.34,23.86,6
2024-04-02 05:00:00,51.38,23.71,5
2024-04-02 06:00:00,60.02,26.39,6
2024-04-02 07:00:00,56.65,24.94,6
2024-04-02 08:00:00,132.19,23.39,140
2024-04-02 09:00:00,128.29,23.64,133
2024-04-02 10:00:00,140.61,21.35,158
2024-04-02 11:00:00,140.19,18.49,150
2024-04-02 12:00:00,147.95,15.66,170
2024-04-02 13:00:00,130.68,15.77,141
2024-04-02 14:00:00,144.78,13.72,162
2024-04-02 15:00:00,129.6,11.49,140
2024-04-02 16:00:00,118.15,12.41,123
2024-04-02 17:00:00,112.91,8.98,114
2024-04-02 18:00:00,106.02,8.57,102
2024-04-02 19:00:00,47.91,10.0,5
2024-04-02 20:00:00,50.42,11.76,6
2024-04-02 21:00:00,46.93,13.6,3
2024-04-02 22:00:00,49.23,14.99,4
2024-04-02 23:00:00,50.2,17.65,9
2024-04-03 00:00:00,50.0,18.16,8
2024-04-03 01:00:00,46.45,22.87,5
2024-04-03 02:00:00,54.04,23.12,5
2024-04-03 03:00:00,55.74,25.73,5
2024-04-03 04:00:00,58.18,25.91,6
2024-04-03 05:00:00,46.69,26.44,2
2024-04-03 06:00:00,60.31,26.41,4
2024-04-03 07:00:00,51.97,25.6,1
2024-04-03 08:00:00,133.09,24.6,133
2024-04-03 09:00:00,133.82,23.68,145
2024-04-03 10:00:00,131.29,20.63,140
2024-04-03 11:00:00,140.77,19.06,164
2024-04-03 12:00:00,125.64,16.15,137
2024-04-03 13:00:00,130.19,15.7,134
2024-04-03 14:00:00,132.72,11.86,147
2024-04-03 15:00:00,134.94,12.99,149
2024-04-03 16:00:00,134.78,10.29,146
2024-04-03 17:00:00,114.64,8.57,114
2024-04-03 18:00:00,114.98,10.36,116
2024-04-03 19:00:00,48.31,10.33,4
2024-04-03 20:00:00,53.41,13.12,4
2024-04-03 21:00:00,48.46,13.3,6
2024-04-03 22:00:00,49.1,15.45,6
2024-04-03 23:00:00,48.23,16.11,1
