date,sales_amount,store_id,promo_active,customer_traffic,temperature
2026-01-01,12450.50,ST01,1,1420,12.5
2026-01-02,11890.00,ST01,0,1310,11.8
2026-01-03,13200.75,ST01,0,1490,10.2
2026-01-04,15400.20,ST01,1,1680,9.5
2026-01-05,16890.00,ST01,1,1850,8.9
2026-01-06,18250.40,ST01,1,2010,7.8
2026-01-07,14100.10,ST01,0,1550,8.2
2026-01-08,12900.00,ST01,0,1430,9.1
2026-01-09,13450.80,ST01,0,1480,10.0
2026-01-10,14900.00,ST01,1,1620,11.3
2026-01-11,17350.50,ST01,1,1910,12.0
2026-01-12,19100.00,ST01,1,2100,11.5
2026-01-13,15200.30,ST01,0,1690,10.8
2026-01-14,13800.00,ST01,0,1510,9.9
2026-01-15,14500.25,ST01,1,1590,9.2
2026-01-16,16200.80,ST01,1,1780,8.5
2026-01-17,18900.00,ST01,1,2050,7.9
2026-01-18,20450.60,ST01,1,2240,7.2
2026-01-19,16100.00,ST01,0,1740,8.0
2026-01-20,14750.90,ST01,0,1600,8.7
