date,product,sales,price,marketing_spend,customers
2024-01-01,OmniWidget,512.42,54.99,422.57,162
2024-01-02,OmniWidget,555.83,54.99,488.05,178
2024-01-03,OmniWidget,624.02,54.99,419.89,186
2024-01-04,OmniWidget,675.13,49.99,453.06,213
2024-01-05,OmniWidget,636.49,54.99,457.59,199
2024-01-06,OmniWidget,618.09,49.99,432.13,182
2024-01-07,OmniWidget,626.42,49.99,404.05,199
2024-01-08,OmniWidget,559.38,49.99,425.81,180
2024-01-09,OmniWidget,482.82,49.99,361.26,162
2024-01-10,OmniWidget,474.22,54.99,403.9,159
2024-01-11,OmniWidget,435.15,49.99,346.48,122
2024-01-12,OmniWidget,445.31,54.99,424.62,130
2024-01-13,OmniWidget,496.61,59.99,375.15,160
2024-01-14,OmniWidget,494.2,49.99,388.02,160
2024-01-15,OmniWidget,559.09,49.99,448.04,180
2024-01-16,OmniWidget,646.12,54.99,421.52,240
2024-01-17,OmniWidget,680.11,49.99,478.87,218
2024-01-18,OmniWidget,737.95,49.99,534.39,242
2024-01-19,OmniWidget,707.76,49.99,434.88,231
2024-01-20,OmniWidget,672.49,49.99,474.54,217
2024-01-21,OmniWidget,704.68,59.99,489.67,217
2024-01-22,OmniWidget,614.97,59.99,469.44,200
2024-01-23,OmniWidget,578.21,54.99,394.18,173
2024-01-24,OmniWidget,510.46,59.99,364.57,157
2024-01-25,OmniWidget,523.19,59.99,424.93,159
2024-01-26,OmniWidget,554.69,49.99,430.79,174
2024-01-27,OmniWidget,560.9,59.99,431.87,198
2024-01-28,OmniWidget,653.1,54.99,471.63,185
2024-01-29,OmniWidget,689.33,59.99,455.33,222
2024-01-30,OmniWidget,753.25,59.99,508.27,219
2024-01-31,OmniWidget,787.16,49.99,523.66,241
2024-02-01,OmniWidget,868.45,49.99,525.95,282
2024-02-02,OmniWidget,817.31,49.99,582.9,256
2024-02-03,OmniWidget,764.51,49.99,520.02,228
2024-02-04,OmniWidget,769.39,59.99,472.02,233
2024-02-05,OmniWidget,670.66,59.99,487.96,216
2024-02-06,OmniWidget,664.27,49.99,436.47,200
2024-02-07,OmniWidget,583.36,54.99,456.96,184
2024-02-08,OmniWidget,594.65,49.99,472.62,186
2024-02-09,OmniWidget,652.72,49.99,436.47,197
2024-02-10,OmniWidget,707.92,49.99,512.07,243
2024-02-11,OmniWidget,749.94,49.99,512.36,241
2024-02-12,OmniWidget,803.4,59.99,546.02,231
2024-02-13,OmniWidget,852.8,49.99,598.02,268
2024-02-14,OmniWidget,861.12,54.99,537.09,262
2024-02-15,OmniWidget,895.2,54.99,535.47,288
2024-02-16,OmniWidget,892.41,49.99,530.28,271
2024-02-17,OmniWidget,899.9,59.99,535.49,280
2024-02-18,OmniWidget,837.97,59.99,532.87,267
2024-02-19,OmniWidget,737.89,49.99,505.39,239
2024-02-20,OmniWidget,750.31,49.99,508.42,222
2024-02-21,OmniWidget,709.91,49.99,508.78,219
2024-02-22,OmniWidget,702.98,49.99,481.58,215
2024-02-23,OmniWidget,759.86,49.99,547.55,231
2024-02-24,OmniWidget,815.6,54.99,518.3,273
2024-02-25,OmniWidget,871.07,54.99,630.03,276
2024-02-26,OmniWidget,886.99,49.99,573.57,265
2024-02-27,OmniWidget,951.71,49.99,554.97,307
2024-02-28,OmniWidget,1001.33,59.99,568.41,334
2024-02-29,OmniWidget,1027.65,49.99,625.53,331
2024-03-01,OmniWidget,977.36,49.99,584.24,290
2024-03-02,OmniWidget,950.8,49.99,601.74,292
2024-03-03,OmniWidget,882.15,59.99,567.06,288
2024-03-04,OmniWidget,833.16,49.99,531.08,253
2024-03-05,OmniWidget,846.37,54.99,513.14,269
2024-03-06,OmniWidget,841.56,54.99,491.18,271
2024-03-07,OmniWidget,811.14,49.99,511.06,244
2024-03-08,OmniWidget,867.26,54.99,572.6,270
2024-03-09,OmniWidget,899.75,49.99,566.32,249
2024-03-10,OmniWidget,933.87,54.99,536.18,282
