timestamp,visitors,sessions,conversions,bounce_rate
2024-02-01,1857,2514,108,0.422
2024-02-02,1899,2556,113,0.425
2024-02-03,1806,2439,107,0.423
2024-02-04,1792,2433,104,0.445
2024-02-05,1403,1872,78,0.414
2024-02-06,1497,1990,75,0.415
2024-02-07,1414,1917,83,0.414
2024-02-08,1182,1557,66,0.414
2024-02-09,1324,1804,77,0.414
2024-02-10,1429,1861,72,0.432
2024-02-11,1529,2105,83,0.434
2024-02-12,1760,2395,106,0.414
2024-02-13,1935,2622,110,0.412
2024-02-14,2274,3109,134,0.425
2024-02-15,2339,3224,136,0.414
2024-02-16,2406,3289,138,0.426
2024-02-17,2349,3098,135,0.422
2024-02-18,2152,2854,117,0.405
2024-02-19,2061,2757,116,0.435
2024-02-20,1982,2677,110,0.438
2024-02-21,1756,2391,98,0.414
2024-02-22,1793,2392,99,0.416
2024-02-23,1720,2329,99,0.423
2024-02-24,1768,2357,97,0.423
2024-02-25,1955,2615,116,0.427
2024-02-26,2111,2794,113,0.44
2024-02-27,2259,3013,126,0.418
2024-02-28,2541,3376,140,0.412
2024-02-29,2563,3421,151,0.406
2024-03-01,2764,3774,159,0.413
2024-03-02,2791,3730,162,0.42
2024-03-03,2696,3745,150,0.438
2024-03-04,2635,3577,152,0.415
2024-03-05,2408,3258,141,0.422
2024-03-06,2399,3204,135,0.42
2024-03-07,2218,3022,132,0.432
2024-03-08,2133,2857,117,0.445
2024-03-09,2230,3015,134,0.415
2024-03-10,2198,3070,140,0.415
2024-03-11,2292,3090,128,0.43
2024-03-12,2464,3372,139,0.427
2024-03-13,2792,3741,164,0.438
2024-03-14,2863,3864,170,0.426
2024-03-15,3189,4376,181,0.416
2024-03-16,3041,4080,169,0.426
2024-03-17,3278,4498,188,0.431
2024-03-18,3132,4257,172,0.428
2024-03-19,3004,4033,165,0.425
2024-03-20,2840,3859,157,0.431
2024-03-21,2761,3766,154,0.432
2024-03-22,2630,3575,150,0.434
2024-03-23,2650,3515,149,0.426
2024-03-24,2610,3494,155,0.418
2024-03-25,2703,3639,148,0.421
2024-03-26,2822,3807,165,0.432
2024-03-27,3028,4113,172,0.412
2024-03-28,3248,4392,184,0.424
2024-03-29,3303,4406,188,0.416
2024-03-30,3455,4679,191,0.42
2024-03-31,3645,4945,210,0.433
