timestamp,temperature,pressure,vibration,voltage,current
2024-03-01 00:00:00,67.8,29.76,0.0432,229.22,12.55
2024-03-01 01:00:00,67.94,30.12,0.0468,229.42,12.57
2024-03-01 02:00:00,71.09,29.28,0.0352,229.29,12.36
2024-03-01 03:00:00,69.3,29.3,0.0434,228.96,12.25
2024-03-01 04:00:00,70.52,29.64,0.0453,230.06,12.75
2024-03-01 05:00:00,71.1,29.89,0.0312,229.0,12.24
2024-03-01 06:00:00,71.98,30.16,0.0341,230.32,12.52
2024-03-01 07:00:00,69.23,30.74,0.0298,229.94,12.36
2024-03-01 08:00:00,70.62,30.43,0.0387,229.71,12.64
2024-03-01 09:00:00,68.83,29.92,0.0436,228.91,12.6
2024-03-01 10:00:00,67.1,29.99,0.0475,229.31,12.81
2024-03-01 11:00:00,67.32,29.5,0.0404,230.91,12.35
2024-03-01 12:00:00,66.28,29.99,0.0481,230.6,12.42
2024-03-01 13:00:00,65.0,29.86,0.0331,228.83,12.21
2024-03-01 14:00:00,65.16,30.16,0.0315,230.12,12.37
2024-03-01 15:00:00,64.7,29.59,0.0397,230.9,12.61
2024-03-01 16:00:00,65.3,30.26,0.0419,228.0,12.73
2024-03-01 17:00:00,66.23,30.77,0.0398,230.65,12.22
2024-03-01 18:00:00,67.68,29.95,0.0297,229.2,12.76
2024-03-01 19:00:00,66.3,30.2,0.0396,230.68,12.91
2024-03-01 20:00:00,69.94,30.35,0.0335,229.08,12.62
2024-03-01 21:00:00,67.6,29.8,0.0433,227.83,13.06
2024-03-01 22:00:00,69.85,30.11,0.0418,228.05,12.27
2024-03-01 23:00:00,71.05,30.01,0.0353,230.06,12.13
2024-03-02 00:00:00,71.15,30.05,0.0374,230.31,11.97
2024-03-02 01:00:00,104.5,29.61,0.0347,228.91,12.95
2024-03-02 02:00:00,70.58,30.01,0.0397,230.77,12.7
2024-03-02 03:00:00,69.83,30.25,0.0448,228.01,12.48
2024-03-02 04:00:00,69.01,30.73,0.0351,229.92,12.58
2024-03-02 05:00:00,69.27,30.48,0.0425,228.55,12.16
2024-03-02 06:00:00,67.93,31.08,0.0373,229.22,13.23
2024-03-02 07:00:00,66.17,29.62,0.036,230.06,12.54
2024-03-02 08:00:00,66.66,30.44,0.0395,228.97,12.53
2024-03-02 09:00:00,65.61,30.09,0.0348,229.54,12.72
2024-03-02 10:00:00,65.7,31.09,0.0372,231.21,12.64
2024-03-02 11:00:00,65.53,29.6,0.034,229.31,12.57
2024-03-02 12:00:00,64.65,29.58,0.0498,231.0,12.26
2024-03-02 13:00:00,65.41,29.7,0.0402,228.64,12.64
2024-03-02 14:00:00,67.22,28.94,0.0365,230.64,13.06
2024-03-02 15:00:00,68.01,29.74,0.0411,231.73,12.9
2024-03-02 16:00:00,68.46,29.62,0.0394,227.03,12.98
2024-03-02 17:00:00,69.47,30.08,0.0389,229.04,12.35
2024-03-02 18:00:00,71.16,30.17,0.0431,230.69,12.2
2024-03-02 19:00:00,70.22,30.94,0.0438,229.76,12.46
2024-03-02 20:00:00,71.41,30.48,0.0373,230.45,12.52
2024-03-02 21:00:00,70.79,29.71,0.0371,229.28,12.83
2024-03-02 22:00:00,70.46,29.55,0.0386,230.1,11.99
2024-03-02 23:00:00,70.94,30.25,0.0285,229.81,12.96
2024-03-03 00:00:00,69.93,29.34,0.18,231.4,12.45
2024-03-03 01:00:00,69.01,30.92,0.0468,230.31,12.37
2024-03-03 02:00:00,75.45,30.59,0.0482,230.41,12.2
2024-03-03 03:00:00,73.53,29.77,0.0388,229.51,12.0
2024-03-03 04:00:00,73.32,29.14,0.0429,229.41,12.75
2024-03-03 05:00:00,72.01,30.68,0.0416,229.48,12.52
2024-03-03 06:00:00,72.27,29.94,0.0554,230.47,12.11
2024-03-03 07:00:00,71.97,30.62,0.0456,229.49,12.11
2024-03-03 08:00:00,72.5,29.2,0.0394,230.35,12.4
2024-03-03 09:00:00,73.51,29.7,0.0352,232.49,13.0
2024-03-03 10:00:00,73.18,30.0,0.032,231.05,12.42
2024-03-03 11:00:00,76.44,30.02,0.041,229.61,12.05
2024-03-03 12:00:00,74.9,29.77,0.0362,231.44,12.43
2024-03-03 13:00:00,75.61,30.31,0.0329,229.51,12.42
2024-03-03 14:00:00,78.23,29.47,0.0368,185.2,11.69
2024-03-03 15:00:00,78.42,29.93,0.0346,228.79,12.48
2024-03-03 16:00:00,78.49,30.06,0.0484,227.76,12.43
2024-03-03 17:00:00,78.4,30.26,0.0444,229.58,12.71
2024-03-03 18:00:00,77.51,30.36,0.04,230.02,13.05
2024-03-03 19:00:00,76.16,29.44,0.0474,232.01,12.84
2024-03-03 20:00:00,76.11,29.23,0.0404,230.39,12.42
2024-03-03 21:00:00,74.58,30.64,0.0357,229.74,12.17
2024-03-03 22:00:00,74.96,30.17,0.0476,231.0,13.27
2024-03-03 23:00:00,73.2,29.63,0.0427,227.35,12.52
2024-03-04 00:00:00,71.96,30.78,0.0348,230.28,12.5
2024-03-04 01:00:00,71.91,30.06,0.039,230.93,12.49
2024-03-04 02:00:00,72.33,30.59,0.0356,228.23,12.56
2024-03-04 03:00:00,71.68,30.03,0.0331,231.37,12.46
2024-03-04 04:00:00,71.89,31.03,0.0446,230.41,12.33
2024-03-04 05:00:00,73.41,30.88,0.0495,229.5,12.34
2024-03-04 06:00:00,74.26,29.88,0.033,230.76,12.49
2024-03-04 07:00:00,74.59,30.49,0.0428,232.72,12.34
